iso_o,iso_d,xtr2001
KOR,FIN,531.36938
KOR,FRA,1989.647394
KOR,GBR,3985.662466
KOR,GRC,1223.147921
KOR,HUN,413.011825
KOR,IDN,2908.643884
KOR,IND,1368.577914
KOR,IRL,709.69869
KOR,ITA,2097.785154
KOR,JPN,12784.35989
KOR,KOR,417036.125
KOR,MEX,3468.567614
KOR,MYS,2884.064707
KOR,NOR,452.052359
KOR,NZL,280.212391
KOR,PHL,2330.005696
KOR,POL,511.47369
KOR,PRT,262.133227
KOR,SGP,3775.399742
KOR,SWE,396.28256
KOR,THA,2074.466713
KOR,TUR,768.972147
KOR,TWN,7052.674316
KOR,USA,34887.14134
MEX,ARG,437.818561
MEX,AUS,313.392654
MEX,AUT,135.016287
MEX,BEL,625.191045
MEX,BRA,703.951869
MEX,CAN,7338.968104
MEX,CHE,114.360318
MEX,CHL,530.467824
MEX,CHN,721.742338
MEX,DEU,1493.793473
MEX,DNK,37.025132
MEX,ESP,292.74797
MEX,FIN,32.543947
MEX,FRA,498.468515
MEX,GBR,1036.894163
MEX,GRC,12.320641
MEX,HUN,121.898236
MEX,IDN,32.003159
MEX,IND,52.215275
MEX,IRL,223.130567
MEX,ITA,236.180106
MEX,JPN,1236.016585
MEX,KOR,242.975379
MEX,MEX,244087.9688
MEX,MYS,152.687436
MEX,NOR,39.87057
MEX,NZL,70.944763
MEX,PHL,30.235089
MEX,POL,79.441593
MEX,PRT,20.877036
MEX,SGP,355.926378
MEX,SWE,34.297442
MEX,THA,122.81784
MEX,TUR,30.465312
MEX,TWN,278.1121826
MEX,USA,122682.3068
MYS,ARG,134.69071
MYS,AUS,1538.575516
MYS,AUT,508.860455
MYS,BEL,633.144785
MYS,BRA,319.563597
MYS,CAN,1185.574554
MYS,CHE,129.642217
MYS,CHL,53.669332
MYS,CHN,5250.200322
MYS,DEU,3009.741572
MYS,DNK,117.495478
MYS,ESP,465.769913
MYS,FIN,222.908187
MYS,FRA,1688.746084
MYS,GBR,2897.375653
MYS,GRC,83.648498
MYS,HUN,468.236119
MYS,IDN,1200.210513
MYS,IND,718.951799
MYS,IRL,527.058466
MYS,ITA,485.037976
MYS,JPN,8957.702504
MYS,KOR,2756.846263
MYS,MEX,1992.35002
MYS,MYS,55165.22656
MYS,NOR,131.207589
MYS,NZL,241.738075
MYS,PHL,1110.038344
MYS,POL,243.289436
MYS,PRT,47.810805
